No.,Review_Text,Sentiment_Label,review_length,tokens,Cleaned_review
1,one best game music soundtracks game didnt really play despite fact played small portion game music heard plus connection chrono trigger great well led purchase soundtrack remains one favorite albums incredible mix fun epic emotional songs sad beautiful tracks especially like theres many kinds songs video game soundtracks must admit one songs lifea distant promise brought tears eyes many occasionsmy one complaint soundtrack use guitar fretting effects many songs find distracting even werent included would still consider collection worth,1,79,"['one', 'best', 'game', 'music', 'soundtrack', 'game', 'didnt', 'really', 'play', 'despite', 'fact', 'played', 'small', 'portion', 'game', 'music', 'heard', 'plus', 'connection', 'chrono', 'trigger', 'great', 'well', 'led', 'purchase', 'soundtrack', 'remains', 'one', 'favorite', 'album', 'incredible', 'mix', 'fun', 'epic', 'emotional', 'song', 'sad', 'beautiful', 'track', 'especially', 'like', 'there', 'many', 'kind', 'song', 'video', 'game', 'soundtrack', 'must', 'admit', 'one', 'song', 'lifea', 'distant', 'promise', 'brought', 'tear', 'eye', 'many', 'occasionsmy', 'one', 'complaint', 'soundtrack', 'use', 'guitar', 'fretting', 'effect', 'many', 'song', 'find', 'distracting', 'even', 'werent', 'included', 'would', 'still', 'consider', 'collection', 'worth']",one best game music soundtrack game didnt really play despite fact played small portion game music heard plus connection chrono trigger great well led purchase soundtrack remains one favorite album incredible mix fun epic emotional song sad beautiful track especially like there many kind song video game soundtrack must admit one song lifea distant promise brought tear eye many occasionsmy one complaint soundtrack use guitar fretting effect many song find distracting even werent included would still consider collection worth
10001,best purchase ever bought exersaucer little guy barely able sit upright needed break idea much would love plays musical animal buttons like maniac looks like conducting personal orchestra without doubt best baby purchase ever made id pay twice price,1,39,"['best', 'purchase', 'ever', 'bought', 'exersaucer', 'little', 'guy', 'barely', 'able', 'sit', 'upright', 'needed', 'break', 'idea', 'much', 'would', 'love', 'play', 'musical', 'animal', 'button', 'like', 'maniac', 'look', 'like', 'conducting', 'personal', 'orchestra', 'without', 'doubt', 'best', 'baby', 'purchase', 'ever', 'made', 'id', 'pay', 'twice', 'price']",best purchase ever bought exersaucer little guy barely able sit upright needed break idea much would love play musical animal button like maniac look like conducting personal orchestra without doubt best baby purchase ever made id pay twice price
20001,book slow weak one beststhank god slow weak boring could go thikn shoudl stick usual frightening detailed booksthis didnt compare,0,20,"['book', 'slow', 'weak', 'one', 'beststhank', 'god', 'slow', 'weak', 'boring', 'could', 'go', 'thikn', 'shoudl', 'stick', 'usual', 'frightening', 'detailed', 'booksthis', 'didnt', 'compare']",book slow weak one beststhank god slow weak boring could go thikn shoudl stick usual frightening detailed booksthis didnt compare
30001,mustread every southern lady failed love book books cheapskate prefer check things library buy oneit snorting laughter nodding agreement recognized basic characteristics shabby genteel family florences house dirty silver gleaming even copied favorite quotes battered bartlettsthere books must reread every often kill mockingbird gone wind lonesome dove one classic,1,49,"['mustread', 'every', 'southern', 'lady', 'failed', 'love', 'book', 'book', 'cheapskate', 'prefer', 'check', 'thing', 'library', 'buy', 'oneit', 'snorting', 'laughter', 'nodding', 'agreement', 'recognized', 'basic', 'characteristic', 'shabby', 'genteel', 'family', 'florence', 'house', 'dirty', 'silver', 'gleaming', 'even', 'copied', 'favorite', 'quote', 'battered', 'bartlettsthere', 'book', 'must', 'reread', 'every', 'often', 'kill', 'mockingbird', 'gone', 'wind', 'lonesome', 'dove', 'one', 'classic']",mustread every southern lady failed love book book cheapskate prefer check thing library buy oneit snorting laughter nodding agreement recognized basic characteristic shabby genteel family florence house dirty silver gleaming even copied favorite quote battered bartlettsthere book must reread every often kill mockingbird gone wind lonesome dove one classic
40001,horrible watch napoleon want funny movie sucks movie lamest jokes ive eever heard didnt even know comedy watched figured old people started laughing every word though noone else laughing ha ha ha,0,32,"['horrible', 'watch', 'napoleon', 'want', 'funny', 'movie', 'suck', 'movie', 'lamest', 'joke', 'ive', 'eever', 'heard', 'didnt', 'even', 'know', 'comedy', 'watched', 'figured', 'old', 'people', 'started', 'laughing', 'every', 'word', 'though', 'noone', 'else', 'laughing', 'ha', 'ha', 'ha']",horrible watch napoleon want funny movie suck movie lamest joke ive eever heard didnt even know comedy watched figured old people started laughing every word though noone else laughing ha ha ha
50001,toast crashes cannot get toast compress ats file crashing tiger worked would great disappointed,0,13,"['toast', 'crash', 'get', 'toast', 'compress', 'at', 'file', 'crashing', 'tiger', 'worked', 'would', 'great', 'disappointed']",toast crash get toast compress at file crashing tiger worked would great disappointed
60001,simplebut great one entertaining war games ever made found two problems depends much luck dice roll may sometimes unfair sometimes takes long finish game perfect played night long,1,28,"['simplebut', 'great', 'one', 'entertaining', 'war', 'game', 'ever', 'made', 'found', 'two', 'problem', 'depends', 'much', 'luck', 'dice', 'roll', 'may', 'sometimes', 'unfair', 'sometimes', 'take', 'long', 'finish', 'game', 'perfect', 'played', 'night', 'long']",simplebut great one entertaining war game ever made found two problem depends much luck dice roll may sometimes unfair sometimes take long finish game perfect played night long
70001,dont waste money hold breath give half stars dont know appeal shes pretty cant sing would give credit wrote songs like many pop artists doesnt halfway decent song album drive crazy mosts howls like dying cat go buy christina agulara form talent,0,42,"['dont', 'waste', 'money', 'hold', 'breath', 'give', 'half', 'star', 'dont', 'know', 'appeal', 'shes', 'pretty', 'cant', 'sing', 'would', 'give', 'credit', 'wrote', 'song', 'like', 'many', 'pop', 'artist', 'doesnt', 'halfway', 'decent', 'song', 'album', 'drive', 'crazy', 'mosts', 'howl', 'like', 'dying', 'cat', 'go', 'buy', 'christina', 'agulara', 'form', 'talent']",dont waste money hold breath give half star dont know appeal shes pretty cant sing would give credit wrote song like many pop artist doesnt halfway decent song album drive crazy mosts howl like dying cat go buy christina agulara form talent
80001,whats cat since patsy went davidson college thought long period bashing would actually read one novels discover source worlds fascination workunfortunately picked oneharlequin romance novels better legal briefs better selfinduced pain better thisyou get point im embarrassed world knows davidson book associates davidson patricia cornwell irony endows scholarship upandcoming freshmen show special promise writing least theres justice theres mystery bad,0,60,"['whats', 'cat', 'since', 'patsy', 'went', 'davidson', 'college', 'thought', 'long', 'period', 'bashing', 'would', 'actually', 'read', 'one', 'novel', 'discover', 'source', 'world', 'fascination', 'workunfortunately', 'picked', 'oneharlequin', 'romance', 'novel', 'better', 'legal', 'brief', 'better', 'selfinduced', 'pain', 'better', 'thisyou', 'get', 'point', 'im', 'embarrassed', 'world', 'know', 'davidson', 'book', 'associate', 'davidson', 'patricia', 'cornwell', 'irony', 'endows', 'scholarship', 'upandcoming', 'freshman', 'show', 'special', 'promise', 'writing', 'least', 'there', 'justice', 'there', 'mystery', 'bad']",whats cat since patsy went davidson college thought long period bashing would actually read one novel discover source world fascination workunfortunately picked oneharlequin romance novel better legal brief better selfinduced pain better thisyou get point im embarrassed world know davidson book associate davidson patricia cornwell irony endows scholarship upandcoming freshman show special promise writing least there justice there mystery bad
90001,dirk pitt believeable biggest disappointment novel character dirk pitt superman human frailties situations gets preposterous suspend rational thought want enjoy book,0,21,"['dirk', 'pitt', 'believeable', 'biggest', 'disappointment', 'novel', 'character', 'dirk', 'pitt', 'superman', 'human', 'frailty', 'situation', 'get', 'preposterous', 'suspend', 'rational', 'thought', 'want', 'enjoy', 'book']",dirk pitt believeable biggest disappointment novel character dirk pitt superman human frailty situation get preposterous suspend rational thought want enjoy book
